MLS Number	Property Status	List Price	Original List Price	Street #	Street Name	Dir	Unit #	City	State	Zip Code	Subdivision	Block	Lot Number	County	Area	Parcel #	Page #	Tax $	CC&R	HOA	HO Tax Exemption	Total Annual Fees $	Transfer Fees $	LID	LID Amount $	LID Assessment	State Lease	State Lease #	State Lease Annual Fee $	Legal	Acres	Lot Width	Lot Length	Paved Street	Winter Access	Electric	Propane Tank	Propane Tank Location	Propane Tank Ownership	Bedrooms	Total Baths	Full Baths	Half Baths	3/4 Baths	Apx Fin SqFt	Age	Level	Year Built	Remodeled	Year Remodeled	Basement	Phone	Garage	Carport	Mobile Home Make/Year	Excluded Items	Additional Features	Adjacent To	Construction	Dock	Foundation	Heat	Included in Sale	Power	Road Maintenance	Roof	Sewer	Siding	Topography	Water	Water Proximity	View	Access To	Zone	Showing Instructions	Directions	Public Remarks	Agent Remarks	Office Only Remarks	Sold Price	Closed Date	Days on Market	Property Type
"533683"	"S"	"999000"	"999000"	"13917 "	"Sky View Court"	""	""	"McCall"	"ID"	"83635"	"Lake Fork Landing"	""	"5A"	"Valley"	"McCall East"	"RP00707000005A"	""	"0.00"	"Yes"	"Yes"	"No"	""	"1000.00"	"No"	""	""	"No"	""	""	"Lot 5A Lake Fork Landing"	"1.1490"	"113.79"	"282.70"	"No"	"Yes"	""	""	""	""	"3"	"3"	"2"	"1"	""	"2064"	""	"Single Level"	"2022"	""	""	""	""	"Three"	"None"	""	""	""	""	"Frame, Masonry"	""	""	"Fireplace"	""	""	""	"Composition"	"Septic Approved"	""	""	"Artesian Well"	""	""	""	""	"Call Listing Agent, Drive By"	"HWY 55 North of Donnelly, R on Pleasant Acres, L on Sky View Ct"	"The Clearwater at Lake Fork Landing features an open split bedroom floor plan with vaulted ceilings, stone fireplace, radiant heated polished concrete floors, and three car garage with oversized RV bay.  Enjoy quiet evenings and scenic views on the spacious covered patio. Minutes away from McCall, Tamarack, and Jug Mountain Ranch!"	"Estimated to be complete Fall of 2022. Please contact listing agent for more information.  "	""	"1067991"	"8/31/2023"	"533"	"RR"
"535678"	"S"	"539900"	"599900"	"149"	"Loomis Lane"	""	""	"Donnelly"	"ID"	"83615"	"Fir Grove Estates"	"03"	"02"	"Valley"	"Donnelly West"	"RP005250030020"	""	"222.92"	"Yes"	"No"	"No"	"0.00"	""	"No"	""	""	"No"	""	""	"FIR GROVE ESTATES SUBDIVISION LOT 2 BLOCK 3"	"0.2990"	"90"	"145"	"Yes"	"Yes"	""	"No"	""	""	"3"	"2"	""	""	""	"1572"	"Under Construction"	"Single Level"	"2023"	""	""	""	"No"	"Two"	"None"	""	""	"Primary Bedroom on Main, Vaulted Ceilings, Road Frontage, Surveyed"	""	"Frame"	""	"Concrete Perimeter"	"Elec Forced Air, Fireplace, Heat Pump"	"Dishwasher, Disposal, Microwave, Range/Oven, Refrigerator"	"110 Volts, 220 Volts"	"County"	"Composition"	"NLSD"	"Composite"	"Level, Road Frontage, Surveyed"	"NLSD"	"Lake Cascade"	"Mountains"	""	"County"	"Drive By"	"From DONNELLY:  S on 55, S on Old State Hwy, W on Loomis Lane"	"BEAUTIFUL NEW HOME!!  This single-story 1572 sq ft plan reflects the thoughtful approach that is the benchmark to the Lexar Company. A covered porch welcomes you to an interior with an updated traditional layout. Three bedroom, two baths, convenient utility room and an attached oversized two car garage. Just the right size for a great family home or cabin only two miles from the Boulder Creek boat launch and beach on Lake Cascade.  Tamarack Resort is also nearby for skiing, mountain biking and fine dining. "	"Taxes are not yet assessed on the new home."	"pending under construction"	"539900"	"1/19/2024"	"528"	"RR"
"535904"	"S"	"899000"	"999000"	"1316 "	"Boydstun Street"	""	""	"McCall"	"ID"	"83638"	"Jasper"	""	""	"Valley"	"McCall West"	"RPM00000070450"	""	"1022.16"	"Yes"	"Yes"	"No"	"135.00"	"0.00"	"No"	""	""	"No"	""	""	"See Exhibit A in docs "	"0.2500"	"66"	"165"	"No"	"Yes"	"Overhead"	"No"	""	""	"2"	"1"	""	""	"1"	"1008"	"51 - 80 Years"	"Single Level"	"1946"	"Yes"	"2022"	"No"	"No"	"Two"	"None"	""	""	"Shop"	""	"Frame"	"Community"	"Block"	"Elec Baseboard, Fireplace"	"Dishwasher, Range/Oven, Refrigerator"	"110 Volts, 220 Volts"	"City"	"Metal"	"PLSWD"	"Vinyl Siding"	"Level"	"Public"	"Payette Lake"	"None"	"Beach, Dock, Lake"	"Res - 4 Homes/Ac"	"Lockbox/Show Anytime"	"Head west on Lake Street, past Shore Lodge head North on Warren Wagon Road. House is located on the corner of Warren Wagon and Boydstun Street on the left. "	"Newly remodeled and decorated by a Professional designer, this 1946 original McCall Home offers 1008 square feet; 2 Bedrooms & 1 bath. Cozy, Open floorpan, amazing natural light. Beautifully furnished. The lot is 0.25 of an acre. The West facing backyard with RV pad (and sewer hookup) currently used as a firepit/ sitting area is the perfect area for summer gatherings. Large 30 x 30 detached garage with high ceiling and brand new metal roof. Amazing location with private Payette Lake Access through the Boydstun Beach Club located right across the street. The private beach; community dock and picnic area is within walking distance from the home. "	"New roof on home & garage - blown insulation - new electrical and plumbing - concrete foundation. "	""	"820000"	"7/20/2023"	"299"	"RR"
"536006"	"S"	"849500"	"1150000"	"823"	"Evergreen Drive"	""	""	"McCall"	"ID"	"83638"	"Timberlost 1"	""	"15-A & 15-B"	"Valley"	"McCall City"	"RPM0274000015F"	""	"4615.98"	"Yes"	"Yes"	"Yes"	"600.00"	""	"No"	""	""	"No"	""	""	"Timberlost 1, Re-subdivision of Lot 15, Lots 15-A & Lot 15-B"	"0.5100"	"irr"	"irr"	"Yes"	"Yes"	"Underground"	"Yes"	"Above Ground"	"Leased"	"3"	"2.5"	"2"	"1"	""	"2522"	"11 - 20 Years"	"Single Level"	"2003"	""	""	""	"Yes"	"Two"	"None"	""	"Seller's personal property"	"Primary Bedroom on Main, Propane Tank, Shop, Sprinkler System, Central Vacuum, Fuel Tank Above Ground, Road Frontage"	""	"Frame, Masonry"	""	"Concrete Perimeter"	"Propane, Propane Fire Place, Propane Forced Air, Wall Heater"	"Dishwasher, Disposal, Dryer, Microwave, Range/Oven, Refrigerator, Washer, Window Treatments"	"110 Volts, 220 Volts"	"Association"	"Composition"	"PLSWD"	"Composite, Hard Plank"	"Level, Road Frontage, Surveyed, Wooded"	"Public"	""	"Golf Course, Wooded"	"Golf Course"	"Res - 4 Homes/Ac"	"Call Listing Agent"	"North on Davis Ave., E on Lick Creek Rd., Right on Evergreen Dr., property on left."	"Move in ready! Well maintained single-level custom home on 2 lots w/access to McCall Golf Course!  3BR, 2.5BA w/great floor plan & covered outdoor deck offering easy comfortable living year-round.  Living room w/vaulted ceiling & river rock gas fireplace. Large kitchen w/granite countertops, SS appliances, chefâ€™s sink, gas cooktop, pantry, & island breakfast bar. Dining rm w/access to deck. Luxurious master suite w/den, dual vanity, shower, soaker tub, walk-in closet, & access to deck. Huge utility/mud rm w/sink & storage. Recent NEW upgrades: Composite roof, Anderson windows, refrigerator, micro, washer, dryer, water heaters (2), Wi-Fi propane furnace, carpet, hardwood, & central vac. Oversize 2 car gar w/space for golf cart, PLUS heated storage/shop. Asphalt driveway, landscaping w/sprinkler sys, plus beautiful aspens & pines for privacy. Enjoy .51 acres w/potential for an additional gar/shop. Adjacent to a wooded common area. Walk to Davis Beach (public), Mile High Marina, Legacy Park & Ponderosa State Park.  Seller to provide a $5K credit to buyer at closing for a back yard privacy fence and/or landscaping."	"Call listing agent, EASY TO SHOW!  2 lots total .51 acre and qualify for 2 sewer connections!  Oversized garage and storage/shop dimensions are an estimate.  Buyer/Buyer's agent to verify all information.  "	""	"840000"	"11/1/2023"	"375"	"RR"
"536063"	"S"	"1275000"	"1275000"	"1070"	"Cedar Lane"	""	""	"McCall"	"ID"	"83638"	"Spring Mountain Ranch 4"	"17"	"3"	"Valley"	"McCall City"	"RPM04680170030"	""	"3760.98"	"Yes"	"Yes"	"No"	"400.00"	"1000.00"	"No"	""	""	"No"	""	""	"SPRING MTN. RANCH SUBD. NO. 4 LOT 3 BLOCK 17"	"0.2800"	"93.22 "	"130.13"	"Yes"	"Yes"	"Underground"	"Yes"	"Above Ground"	"Leased"	"3"	"2"	""	""	""	"1800"	""	"Two Stories"	"2001"	""	""	""	""	"Two"	"None"	""	"Seller's select furnishings and art"	"Primary Bedroom on Main, Propane Tank, Sprinkler System, Vaulted Ceilings, Air Conditioning, Road Frontage"	""	"Log"	""	"Concrete Perimeter"	"Fireplace, Propane"	"Hot Tub, Dishwasher, Disposal, Dryer, Range/Oven, Refrigerator, Satellite Dish, Washer, Window Treatments"	"110 Volts, 220 Volts"	"Association"	"Composition"	"City"	"Log"	"Level, Road Frontage"	"Public"	"Payette Lake"	"Golf Course"	"Community Pool, Golf Course"	"Res - 4 Homes/Ac"	"Call Listing Agent, Notice Required"	"Head North on Spring Mountain Boulevard. Take a left heading West on Cedar Lane. Home is on left about a half a block down Cedar Lane."	"This Precision Log Homes cabin is in McCall's highly desirable Spring Mountain Ranch! Cozy 3 bed 2 bath 1800 square foot home has been meticulously built and well maintained. Property is situated across from McCall Golf Course and includes full access to the Spring Mountain Ranch Club House with pool, hot tub and fitness center.  Open beam ceiling, slate entry and kitchen, laminate wood flooring, wood fireplace, Hickory custom cabinetry, and granite countertops. Loft can serve as an artist's nook or a book worm's retreat. Stargazing in the hot tub just outside the Master Bedroom. All bedrooms are located on entry level. New composition roof and resurfaced driveway. New propane system. Proven high income producing history as a 5 star rental property. Home is being sold fully furnished with amenities, cookware and kitchen accessories. Buyers literally can step into this idyllic cabin and start the Winter Holidays on day one! Just a few minutes to shopping and dining in Downtown McCall, Payette Lake and Ponderosa Park. McCall's epic downhill skiing, nordic skiing, snowmobiling and snowshoeing will be at your fingertips from this basecamp where you'll unwind after a day in paradise! "	"Open House on Tuesday, May 9th from 11 am-1 pm.  Call for showing instructions as owners use property off and on. Property has been brilliantly marketed as #affirmationcabin on VRBO (http://www.vrbo.com/1988053) and owners have performance ranking and income documentation showing substantial rental income."	""	"1130000"	"7/7/2023"	"233"	"RR"
"536123"	"S"	"2499000"	"2499000"	"55 "	"Ponderosa Ridge Court"	""	""	"Donnelly"	"ID"	"83615"	"Tamarack Resort Planned Unit Development Phase 3.2"	"19"	"13"	"Valley"	"Tamarack"	"RP007270200130"	""	"7635.00"	"Yes"	"Yes"	"No"	"9500.00"	""	"No"	""	""	"No"	""	""	"TAMARACK RESORT P.U.D. PHASE 3.2 BLOCK 19 LOT 13 "PONDEROSA RIDGE"	"0.2700"	"irr"	"irr"	"Yes"	"Yes"	""	""	""	""	"3"	"3.5"	"3"	"1"	""	"2945"	"New-Never Occupied"	"Two Stories"	"2023"	""	""	""	""	"Two"	"None"	""	""	"Air Conditioning"	"Golf Course, Lake"	"Frame"	""	""	"Elec Forced Air, Propane Forced Air"	"Dishwasher, Disposal, Freezer, Microwave, Range/Oven, Refrigerator"	""	"Association"	"Composition"	"NLSD"	""	""	"NLSD"	"Lake Cascade"	"Golf Course, Meadow, Mountains, Wooded, Valley"	"Community Pool, Dock, Golf Course, Lake"	""	"Call Listing Office"	"From West Mountain Road, West on Village Dr, South on Ponderosa Ridge Rd"	"Conveniently located between Lake Cascade and The Village at Tamarack, and adjacent to the Osprey Meadows Golf Course, Ponderosa Ridge is perfectly positioned to take advantage of Tamarackâ€™s 3,600- acre resort backyard. 4BR/3.5BA and 3BR/3.5BA options available, each with a Bonus Room and a 2-car garage. Enjoy all-season recreation and the convenience of maintenance-free living with snow removal, landscaping, and other services managed by the Tamarack Municipal Association. Sport Membership deposit in the Club at Tamarack is included in the purchase price (Developer to pay membership deposit to The Club).   Full Golf Membership is available with this property.   "	"Taxes for 2023 are approximately .002589 of assessed value and are currently estimated off of list price. "	""	"2499000"	"2/16/2024"	"410"	"RR"
"536124"	"S"	"2799000"	"2799000"	"59"	"Ponderosa Ridge Court"	""	""	"Donnelly"	"ID"	"83615"	"Tamarack Resort Planned Unit Development Phase 3.2"	"19"	"12"	"Valley"	"Tamarack"	"RP007270200120"	""	"8552.00"	"Yes"	"Yes"	"No"	"8500.00"	""	"No"	""	""	"No"	""	""	"TAMARACK RESORT P.U.D. PHASE 3.2 BLOCK 19 LOT 12 "PONDEROSA RIDGE""	"0.2800"	""	""	"Yes"	"Yes"	""	""	""	""	"4"	"3.5"	"3"	"1"	""	"3364"	"Under Construction"	"Two Stories"	"2023"	""	""	""	""	"Two"	"None"	""	""	"Primary Bedroom on Main, Air Conditioning"	"Golf Course, Lake"	"Frame"	""	""	"Elec Forced Air, Propane Forced Air"	"Dishwasher, Disposal, Microwave, Range/Oven, Refrigerator"	""	"Association"	"Composition"	"NLSD"	""	""	"NLSD"	"Lake Cascade"	"Golf Course, Meadow, Mountains, Wooded, Valley"	"Dock, Golf Course, Lake, Meadow/Valley, Public Lands"	""	"Call Listing Office"	"From West Mountain Road, West on Village Dr, South on Ponderosa Ridge Rd "	"Conveniently located between Lake Cascade and The Village at Tamarack, and adjacent to the Osprey Meadows Golf Course, Ponderosa Ridge is perfectly positioned to take advantage of Tamarackâ€™s 3,600- acre resort backyard. 4BR/3.5BA and 3BR/3.5BA options available, each with a Bonus Room and a 2-car garage. Enjoy all-season recreation and the convenience of maintenance-free living with snow removal, landscaping, and other services managed by the Tamarack Municipal Association.  Sport Membership deposit in the Club at Tamarack is included in the purchase price (Developer to pay membership deposit to The Club).  Charter Sports Membership and Charter Benefits are available thru Dec 31, 2023 only.  Full Golf Membership is available with this property.  Available for delivery in 2023. Preconstruction prices available now!"	"Taxes for 2022 are .0030 of assessed value and are currently estimated off of list price. "	""	"2799000"	"12/28/2023"	"359"	"RR"
"536128"	"S"	"825000"	"949000"	"820 "	"Evergreen Drive"	""	""	"McCall"	"ID"	"83638"	"Timberlost 1"	""	"11"	"Valley"	"McCall East"	"RPM02670000110"	""	"3423.00"	"Yes"	"Yes"	"Yes"	"300.00"	""	"No"	""	""	"No"	""	""	"820 Evergreen Lot 11"	"0.2100"	""	""	"Yes"	"Yes"	"Overhead"	"Yes"	""	"Leased"	"3"	"3"	"2"	"1"	""	"2242"	"21 - 30 Years"	"Single Level"	"1995"	"No"	""	"No"	"Yes"	"Three"	"None"	""	""	"Primary Bedroom on Main, Propane Tank, Vaulted Ceilings, Fuel Tank Above Ground"	"Golf Course"	"Frame"	"None"	"Concrete Perimeter"	"Elec Forced Air, Propane"	"Dishwasher, Disposal, Dryer, Furniture, Microwave, Range/Oven, Refrigerator, Washer, Window Treatments"	"220 Volts"	"Association"	"Metal"	"City"	"Wood Siding"	"Level"	"Public"	"Payette Lake"	"Golf Course"	"Golf Course"	"Res - 4 Homes/Ac"	"Call Listing Agent, Lockbox/Show Anytime"	"Davis to Lick Creek right to Evergreen right"	"GOLF COURSE DREAM Located on the 5th hole of the Aspen course.  Very well laid out house with spacious rooms.  Wonderful views of the golf course.  Over $100,000 of new windows and insulation in 2021. Could be move in ready with everything included."	""	""	"800000"	"8/4/2023"	"212"	"RR"
"536147"	"S"	"1450000"	"1950000"	"217"	"Ashton Lane"	""	""	"McCall"	"ID"	"83638"	"Ashton Estates"	""	""	"Valley"	"McCall East"	"RP005530000020"	""	"539.82"	"Yes"	"No"	"No"	""	""	"No"	""	""	"No"	""	""	"Ashton Estates Lot 2"	"1.4000"	""	""	"Yes"	"Yes"	""	""	""	""	"3"	"4"	"3"	"1"	""	"3200"	"New-Never Occupied"	"Two Stories"	"2022"	""	""	""	""	"Two"	"None"	""	""	"Primary Bedroom on Main, Vaulted Ceilings, Surveyed, Central Air"	"Golf Course"	"Frame"	""	"Concrete Perimeter"	"Elec Forced Air, Pellet Stove"	"Dishwasher, Disposal, Dryer, Microwave, Pellet Stove, Range/Oven, Refrigerator, Washer"	"110 Volts"	"County, Private Maintained Road"	"Composition"	"Septic Installed"	"Hard Plank"	"Level"	"Well"	""	"Golf Course, Mountains"	"Golf Course"	"County"	"Call Listing Agent, Lockbox/Show Anytime"	"Farm to Market Road to Ashton Lane.  Right into Ashton Estates (between Wilhelm and Sweet Iron Court). Home is straight ahead at the end of the culdesac."	"BRAND NEW with AMAZING VIEWS!!  Large stately home with spectacular views down the Jug Mountain Ranch Golf Course 11th Fairway.  Plenty of room for all your friends & family in 3 large bedrooms, each with private en-suites with soaking tubs and full granite tub surrounds, extra linen storage and large walk in closets. Enjoy 2-story floor to ceiling windows and custom modern fireplace accents in the living and entertaining area. Large open loft PLUS a separate bonus room could be a nanny/in-law suite, bunk room, theater or home office - endless possibilities! Gourmet kitchen with efficient layout, top of the line stainless steel appliances, granite countertops, knotty alder cabinets and many special finishes. Home also has central air conditioning and a whole house water filtration system. This classic McCall mountain home boasts a great layout, top quality construction, custom cabinetry and knotty alder doors throughout. Oversized 2-car attached garage.  The GOLF COURSE FRONTAGE 1.4 acre lot has plenty of room to build a separate toy barn/shop.  PRIVATE SEPTIC & WELL. Enjoy end of the road privacy and easy access to Jug Mountain Ranch, McCall and Tamarack! Minimal CCRâ€™s "	"PRICES SLASHED! All reasonable offers considered!!  Call Listing Agent for code or use SentriKey Lockbox.  Home is outside of Jug Mountain Ranch HOA.  Agent is related to Seller.  Taxes based on bare land assessment.  "	""	"1350000"	"1/29/2024"	"383"	"RR"
"536203"	"S"	"849000"	"849000"	"1026"	"Evergreen Drive"	""	""	"McCall"	"ID"	"83638"	"Timberlost 3"	"1"	"14"	"Valley"	"McCall City"	"RPM02720010140"	""	"3423.40"	"Yes"	"Yes"	"Yes"	"300.00"	"0.00"	"No"	""	""	"No"	""	""	"Timberlost III Unit 14 Block 1"	"0.2400"	"59"	"165"	"Yes"	"Yes"	""	"Yes"	""	"Leased"	"3"	"2"	"1"	"0"	"1"	"1531"	"31 - 50 Years"	"Two Stories"	"1978"	"Yes"	""	"No"	""	"Three"	"None"	""	""	"Primary Bedroom on Main, Vaulted Ceilings"	"Golf Course"	"Frame"	""	"Concrete Perimeter"	"Elec Baseboard, Propane Fire Place"	"Hot Tub, Dishwasher, Disposal, Dryer, Furniture, Microwave, Range/Oven, Refrigerator, Washer, Window Treatments"	""	"City"	"Composition"	"PLSWD"	"Wood Siding"	"Level"	"Public"	"Payette Lake"	"Golf Course"	"Golf Course"	"Res - 4 Homes/Ac"	"Call Listing Agent"	"3rd St; E on Park; N on Davis: E on Lick Cr. S on last Evergreen Dr entrance."	"On the #4 Fairway of the Aspen Nine of the McCall Golf Course, this remodeled 3 bedroom 2 bath home is close Ponderosa Park & Davis Beach. Jump on your bike and ride around Payette Lake, or take the bike path to town. In the winter, walk out your back door to enjoy the plowed walking paths. On a quiet street off of Lick Creek, you are in the heart of all things that McCall has to offer.  A three car garage means plenty of room for toys and over 500 square feet of deck with a view of the Course is ideal for entertaining, plus a hot tub on the deck and a fenced yard. A main floor master suite with more bedrooms upstairs, an open concept great room with vaulted ceilings and an incredible view. A great investment as short and long term rentals are allowed.  Home is being sold furnished and turnkey!  This is a must see!"	"SentriLock is on the man door to the garage. Go thru gate to right of garage and man door is just beyond gate.   Home will be occupied from Mar 18-25th & short term rented after that; call for appt.  "	""	"755000"	"8/28/2023"	"202"	"RR"
