Subdivision,Acres,Paved Street,Winter Access,Bedrooms,Total Baths,Apx Fin SqFt,Age,Garage,Carport,Foundation,Heat,Sewer,Water,Sold Price,Days on Market,City_Donnelly,City_McCall,Closed Year,Closed Month,Closed Day
44,1.149,0,1,3,3.0,2064,10,3,0,9,42,6,0,1067991.0,533,False,True,2023,8,31
28,0.299,1,1,3,2.0,1572,9,2,0,2,22,3,2,539900.0,528,True,False,2024,1,19
37,0.25,0,1,2,1.0,1008,4,2,0,0,2,5,4,820000.0,299,False,True,2023,7,20
84,0.51,1,1,3,2.5,2522,1,2,0,2,76,5,4,840000.0,375,False,True,2023,11,1
75,0.28,1,1,3,2.0,1800,10,2,0,2,50,0,4,1130000.0,233,False,True,2023,7,7
81,0.27,1,1,3,3.5,2945,8,2,0,9,38,3,2,2499000.0,410,True,False,2024,2,16
81,0.28,1,1,4,3.5,3364,9,2,0,9,38,3,2,2799000.0,359,True,False,2023,12,28
84,0.21,1,1,3,3.0,2242,2,3,0,2,32,0,4,800000.0,212,False,True,2023,8,4
2,1.4,1,1,3,4.0,3200,8,2,0,2,31,7,8,1350000.0,383,False,True,2024,1,29
85,0.24,1,1,3,2.0,1531,3,3,0,2,10,5,4,755000.0,202,False,True,2023,8,28
99,0.362,0,0,4,3.0,2233,10,2,0,2,19,0,8,899000.0,158,True,False,2023,8,3
61,4.606,0,1,3,2.0,2784,1,3,0,2,20,7,8,1060000.0,149,False,True,2023,7,28
79,0.5,1,1,7,5.0,4568,1,2,0,2,49,3,2,2950000.0,190,True,False,2023,9,8
103,0.3,1,1,4,2.0,1484,1,3,0,2,68,5,4,765000.0,166,False,True,2023,8,28
104,1.06,1,1,4,2.0,2431,8,2,0,2,25,3,8,825000.0,175,True,False,2023,9,15
31,0.33,1,1,3,2.0,1687,5,2,0,2,19,3,1,730000.0,147,True,False,2023,8,25
88,10.0,1,1,3,2.5,3448,3,4,2,2,68,7,8,1225000.0,138,False,True,2023,9,1
12,3.78,0,1,3,2.5,3003,0,5,0,8,25,7,8,1300000.0,133,False,True,2023,9,5
68,0.06,1,1,4,3.0,2299,8,2,0,2,33,5,4,1825000.0,114,False,True,2023,8,18
3,0.36,1,1,4,3.0,1860,1,3,0,2,72,5,4,860000.0,110,False,True,2023,8,14
4,0.148,1,1,3,3.0,2091,10,2,0,2,33,0,4,1035000.0,71,False,True,2023,7,7
73,0.29,1,1,3,3.0,2406,0,2,0,2,60,0,4,905000.0,109,False,True,2023,8,24
88,0.26,0,1,2,2.0,1344,4,0,2,2,0,3,4,477500.0,71,False,True,2023,7,20
52,0.2,1,1,3,2.0,1322,1,2,0,2,18,3,1,445900.0,75,True,False,2023,7,26
55,3.23,1,1,4,4.0,4997,2,5,0,2,37,7,8,1400000.0,158,False,True,2023,10,23
41,2.0,1,1,3,2.5,2072,8,2,0,2,68,7,1,975900.0,69,False,True,2023,7,26
78,0.32,1,1,4,3.5,3104,1,2,0,8,14,0,4,855000.0,131,False,True,2023,9,26
59,1.32,1,1,4,3.5,2268,8,3,0,2,72,7,8,500000.0,89,False,True,2023,8,15
