City,Subdivision,Acres,Paved Street,Winter Access,Bedrooms,Total Baths,Apx Fin SqFt,Age,Year Built,Garage,Carport,Foundation,Heat,Sewer,Water,Sold Price,Closed Date,Days on Market
McCall,Lake Fork Landing,1.149,No,Yes,3,3.0,2064,Unknown,2022,Three,Unknown,Unknown,Fireplace,Septic Approved,Artesian Well,1067991.0,8/31/2023,533
Donnelly,Fir Grove Estates,0.299,Yes,Yes,3,2.0,1572,Under Construction,2023,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Fireplace, Heat Pump",NLSD,NLSD,539900.0,1/19/2024,528
McCall,Jasper,0.25,No,Yes,2,1.0,1008,51 - 80 Years,1946,Two,Unknown,Block,"Elec Baseboard, Fireplace",PLSWD,Public,820000.0,7/20/2023,299
McCall,Timberlost 1,0.51,Yes,Yes,3,2.5,2522,11 - 20 Years,2003,Two,Unknown,Concrete Perimeter,"Propane, Propane Fire Place, Propane Forced Air, Wall Heater",PLSWD,Public,840000.0,11/1/2023,375
McCall,Spring Mountain Ranch 4,0.28,Yes,Yes,3,2.0,1800,Unknown,2001,Two,Unknown,Concrete Perimeter,"Fireplace, Propane",City,Public,1130000.0,7/7/2023,233
Donnelly,Tamarack Resort Planned Unit Development Phase 3.2,0.27,Yes,Yes,3,3.5,2945,New-Never Occupied,2023,Two,Unknown,Unknown,"Elec Forced Air, Propane Forced Air",NLSD,NLSD,2499000.0,2/16/2024,410
Donnelly,Tamarack Resort Planned Unit Development Phase 3.2,0.28,Yes,Yes,4,3.5,3364,Under Construction,2023,Two,Unknown,Unknown,"Elec Forced Air, Propane Forced Air",NLSD,NLSD,2799000.0,12/28/2023,359
McCall,Timberlost 1,0.21,Yes,Yes,3,3.0,2242,21 - 30 Years,1995,Three,Unknown,Concrete Perimeter,"Elec Forced Air, Propane",City,Public,800000.0,8/4/2023,212
McCall,Ashton Estates,1.4,Yes,Yes,3,4.0,3200,New-Never Occupied,2022,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Pellet Stove",Septic Installed,Well,1350000.0,1/29/2024,383
McCall,Timberlost 3,0.24,Yes,Yes,3,2.0,1531,31 - 50 Years,1978,Three,Unknown,Concrete Perimeter,"Elec Baseboard, Propane Fire Place",PLSWD,Public,755000.0,8/28/2023,202
Donnelly,Whistler's Cove,0.362,No,No,4,3.0,2233,Unknown,2023,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Fireplace",City,Well,899000.0,8/3/2023,158
McCall,Quaking Aspen,4.606,No,Yes,3,2.0,2784,11 - 20 Years,2010,Three,Unknown,Concrete Perimeter,"Elec Forced Air, Fireplace Insert",Septic Installed,Well,1060000.0,7/28/2023,149
Donnelly,Tamarack Resort Phase 1,0.5,Yes,Yes,7,5.0,4568,11 - 20 Years,2005,Two,Unknown,Concrete Perimeter,"Fireplace, Heat Pump, Propane Fire Place",NLSD,NLSD,2950000.0,9/8/2023,190
McCall,Woodlands 2,0.3,Yes,Yes,4,2.0,1484,11 - 20 Years,2003,Three,Unknown,Concrete Perimeter,"Propane Fire Place, Propane Forced Air",PLSWD,Public,765000.0,8/28/2023,166
Donnelly,Woods on Norwood The,1.06,Yes,Yes,4,2.0,2431,New-Never Occupied,2023,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Heat Pump, Propane Fire Place",NLSD,Well,825000.0,9/15/2023,175
Donnelly,Hawks Bay 1,0.33,Yes,Yes,3,2.0,1687,6 - 10 Years,2015,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Fireplace",NLSD,Community,730000.0,8/25/2023,147
McCall,Unknown,10.0,Yes,Yes,3,2.5,3448,31 - 50 Years,1990,Four,Two,Concrete Perimeter,"Propane Fire Place, Propane Forced Air",Septic Installed,Well,1225000.0,9/1/2023,138
McCall,Brookdale Meadows,3.78,No,Yes,3,2.5,3003,1 - 5 Years,2020,Five or More,Unknown,Slab,"Elec Forced Air, Heat Pump, Propane Fire Place",Septic Installed,Well,1300000.0,9/5/2023,133
McCall,Running Horse,0.06,Yes,Yes,4,3.0,2299,New-Never Occupied,2023,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Propane Fire Place",PLSWD,Public,1825000.0,8/18/2023,114
McCall,Aspen Ridge 1,0.36,Yes,Yes,4,3.0,1860,11 - 20 Years,2005,Three,Unknown,Concrete Perimeter,Propane Forced Air,PLSWD,Public,860000.0,8/14/2023,110
McCall,Aspen Ridge 3,0.148,Yes,Yes,3,3.0,2091,Unknown,2017,Two,Unknown,Concrete Perimeter,"Elec Forced Air, Propane Fire Place",City,Public,1035000.0,7/7/2023,71
McCall,Spring Mountain Meadows,0.29,Yes,Yes,3,3.0,2406,1 - 5 Years,2021,Two,Unknown,Concrete Perimeter,"Heat Pump, Pellet Stove, Propane Fire Place, Propane Forced Air",City,Public,905000.0,8/24/2023,109
McCall,Unknown,0.26,No,Yes,2,2.0,1344,51 - 80 Years,1971,Unknown,Two,Concrete Perimeter,Elec Baseboard,NLSD,Public,477500.0,7/20/2023,71
Donnelly,Meadows at West Mountain 1,0.2,Yes,Yes,3,2.0,1322,11 - 20 Years,2005,Two,Unknown,Concrete Perimeter,Elec Forced Air,NLSD,Community,445900.0,7/26/2023,75
McCall,Mountain View Estates,3.23,Yes,Yes,4,4.0,4997,21 - 30 Years,1999,Five or More,Unknown,Concrete Perimeter,"Elec Forced Air, Propane Fire Place, Wood Stove, Other",Septic Installed,Well,1400000.0,10/23/2023,158
McCall,Kings Pines 4,2.0,Yes,Yes,3,2.5,2072,New-Never Occupied,2022,Two,Unknown,Concrete Perimeter,"Propane Fire Place, Propane Forced Air",Septic Installed,Community,975900.0,7/26/2023,69
McCall,Syringa Estates,0.32,Yes,Yes,4,3.5,3104,11 - 20 Years,2003,Two,Unknown,Slab,"Elec Baseboard, Propane Forced Air",City,Public,855000.0,9/26/2023,131
McCall,Pine Terrace 1,1.32,Yes,Yes,4,3.5,2268,New-Never Occupied,2022,Three,Unknown,Concrete Perimeter,Propane Forced Air,Septic Installed,Well,500000.0,8/15/2023,89
McCall,Jughandle Highlands 1,3.8,Yes,Yes,4,3.5,3068,31 - 50 Years,1990,Five or More,One,Concrete Perimeter,"Elec Baseboard, Propane Fire Place, Other",Septic Installed,Community,1250000.0,10/6/2023,139
McCall,Jug Mountain Ranch Phase 1 Stage 1,0.46,Yes,Yes,4,3.5,3672,11 - 20 Years,2004,Two,Unknown,Slab,"Fireplace, Propane Fire Place, Radiant, Wood Stove",Community,Community,1300000.0,1/8/2024,232
Donnelly,McLeod and Edwards Wagon Wheel 8,1.0313,No,Yes,3,3.0,2400,11 - 20 Years,2010,Three,Unknown,Concrete Perimeter,"Fireplace, Propane Fire Place, Propane Forced Air",NLSD,Well,1100000.0,8/18/2023,107
McCall,Blackhawk Lake Estates 2,1.89,Yes,Yes,3,3.5,3289,6 - 10 Years,2017,Two,Unknown,"Concrete Perimeter, Slab","Heat Pump, Propane Fire Place, Propane Forced Air",Septic Installed,Well,1635000.0,7/12/2023,51
